filename,status,instruction_count,unique_instructions,size,reason
6rdcalc.asm,VALID,377,31,5565,
[.asm,VALID,62756,70,944931,
[[.asm,VALID,62756,70,944931,
adb.asm,VALID,20424,63,303682,
addpart.asm,VALID,1286,46,19111,
addr2line.asm,VALID,3106,45,47483,
address6.asm,VALID,6213,51,95220,
agetty.asm,VALID,5485,56,84653,
alive6.asm,VALID,10421,57,160438,
ar.asm,VALID,7000,48,107817,
aread.asm,VALID,376,28,5533,
arping.asm,VALID,1549,43,23897,
arptables.asm,VALID,6882,46,104614,
as.asm,VALID,69159,63,1080030,
ash.asm,VALID,62756,70,944931,
atm-atmdiag_2.5.2-5_mipsel_mips32_atmdiag.asm,VALID,357,30,5243,
atm-atmdump_2.5.2-5_mipsel_mips32_atmdump.asm,VALID,588,38,8882,
atm-awrite_2.5.2-5_mipsel_mips32_awrite.asm,VALID,320,27,4646,
atm-debug-tools_2.5.2-5_mipsel_mips32_aread.asm,VALID,376,28,5533,
atm-debug-tools_2.5.2-5_mipsel_mips32_atmaddr.asm,VALID,491,38,7532,
atm-debug-tools_2.5.2-5_mipsel_mips32_atmdiag.asm,VALID,357,30,5243,
atm-debug-tools_2.5.2-5_mipsel_mips32_atmdump.asm,VALID,588,38,8882,
atm-debug-tools_2.5.2-5_mipsel_mips32_atmloop.asm,VALID,489,33,7200,
atm-debug-tools_2.5.2-5_mipsel_mips32_atmsigd.asm,VALID,13189,58,208309,
atm-debug-tools_2.5.2-5_mipsel_mips32_atmswitch.asm,VALID,528,37,8001,
atm-debug-tools_2.5.2-5_mipsel_mips32_atmtcp.asm,VALID,1622,42,24149,
atm-debug-tools_2.5.2-5_mipsel_mips32_awrite.asm,VALID,320,27,4646,
atm-debug-tools_2.5.2-5_mipsel_mips32_bus.asm,VALID,3887,46,60024,
atm-debug-tools_2.5.2-5_mipsel_mips32_esi.asm,VALID,402,28,5817,
atm-debug-tools_2.5.2-5_mipsel_mips32_ilmid.asm,VALID,8249,54,123749,
atm-debug-tools_2.5.2-5_mipsel_mips32_ilmidiag.asm,VALID,294,27,4266,
atm-debug-tools_2.5.2-5_mipsel_mips32_lecs.asm,VALID,2780,49,42121,
atm-debug-tools_2.5.2-5_mipsel_mips32_les.asm,VALID,5134,47,79784,
atm-debug-tools_2.5.2-5_mipsel_mips32_mpcd.asm,VALID,4949,55,76701,
atm-debug-tools_2.5.2-5_mipsel_mips32_saaldump.asm,VALID,3275,52,54214,
atm-debug-tools_2.5.2-5_mipsel_mips32_sonetdiag.asm,VALID,500,31,7490,
atm-debug-tools_2.5.2-5_mipsel_mips32_svc_recv.asm,VALID,494,31,7490,
atm-debug-tools_2.5.2-5_mipsel_mips32_svc_send.asm,VALID,401,32,5976,
atm-debug-tools_2.5.2-5_mipsel_mips32_ttcp_atm.asm,VALID,1935,44,29627,
atm-debug-tools_2.5.2-5_mipsel_mips32_zeppelin.asm,VALID,7264,58,113541,
atm-diagnostics_2.5.2-5_mipsel_mips32_aread.asm,VALID,376,28,5533,
atmaddr.asm,VALID,491,38,7532,
atmarp.asm,VALID,581,34,8624,
atmarpd.asm,VALID,5482,52,81943,
atmdiag.asm,VALID,357,30,5243,
atmdump.asm,VALID,588,38,8882,
atmloop.asm,VALID,489,33,7200,
atmsigd.asm,VALID,13189,58,208309,
atmswitch.asm,VALID,528,37,8001,
atmtcp.asm,VALID,1622,42,24149,
awk.asm,VALID,62756,70,944931,
awrite.asm,VALID,320,27,4646,
badblocks.asm,VALID,1879,47,29486,
basename.asm,VALID,62756,70,944931,
binutils_2.27-1_mipsel_mips32_strings.asm,VALID,2869,39,44106,
blkdiscard.asm,VALID,1809,46,27250,
blkid.asm,VALID,8533,52,130395,
br2684ctl.asm,VALID,888,33,13334,
brctl.asm,VALID,62756,70,944931,
bridge.asm,VALID,4495,51,69395,
bsdiff.asm,VALID,2091,37,31916,
bspatch.asm,VALID,744,35,11158,
bunzip2.asm,VALID,62756,70,944931,
bus.asm,VALID,3887,46,60024,
busybox.asm,VALID,62756,70,944931,
busybox_1.25.1-4_mipsel_mips32_ip.asm,VALID,62756,70,944931,
bzcat.asm,VALID,62756,70,944931,
bzip2.asm,VALID,3987,40,61710,
bzip2_1.0.6-4_mipsel_mips32_bzip2.asm,VALID,3987,40,61710,
c++filt.asm,VALID,2473,36,37905,
cachegrind-mips32-linux.asm,VALID,238366,110,3050098,
cal.asm,VALID,5991,57,92175,
callgrind-mips32-linux.asm,VALID,263886,131,3380669,
cat.asm,VALID,62756,70,944931,
cfdisk.asm,VALID,11168,54,171584,
cg_merge.asm,VALID,2412,38,35444,
chat.asm,VALID,3080,41,46612,
chattr.asm,VALID,700,32,11069,
chgrp.asm,VALID,62756,70,944931,
chmod.asm,VALID,62756,70,944931,
chown.asm,VALID,62756,70,944931,
chroot.asm,VALID,62756,70,944931,
clear.asm,VALID,62756,70,944931,
clockdiff.asm,VALID,1119,48,17169,
cmp.asm,VALID,62756,70,944931,
conntrack.asm,VALID,3904,48,58833,
conntrackd.asm,VALID,43141,79,348117,
covert_send6.asm,VALID,5688,51,87236,
covert_send6d.asm,VALID,5688,51,87236,
cp.asm,VALID,62756,70,944931,
crond.asm,VALID,62756,70,944931,
crontab.asm,VALID,62756,70,944931,
curl.asm,VALID,8618,50,131171,
cut.asm,VALID,62756,70,944931,
date.asm,VALID,62756,70,944931,
dbclient.asm,VALID,29448,64,439941,
dd.asm,VALID,62756,70,944931,
debugfs.asm,VALID,19845,64,303615,
delpart.asm,VALID,1249,44,18530,
denial6.asm,VALID,6845,51,105395,
detect-new-ip6.asm,VALID,6003,51,92236,
detect_sniffer6.asm,VALID,6181,51,94910,
df.asm,VALID,62756,70,944931,
dirname.asm,VALID,62756,70,944931,
dmesg.asm,VALID,62756,70,944931,
dmesg_2.29.2-1_mipsel_mips32_dmesg.asm,VALID,4696,55,71541,
dnsdict6.asm,VALID,2243,46,34681,
dnsmasq-dhcpv6_2.78-6_mipsel_mips32_dnsmasq.asm,VALID,46266,59,700297,
dnsmasq.asm,VALID,49284,59,745103,
dnsmasq_2.78-6_mipsel_mips32_dnsmasq.asm,VALID,37871,59,571061,
dnsrevenum6.asm,VALID,6672,51,102718,
dos-new-ip6.asm,VALID,6041,51,92846,
drd-mips32-linux.asm,VALID,265866,130,3432136,
dropbear.asm,VALID,29448,64,439941,
dropbearconvert.asm,VALID,6434,57,95943,
dropbearkey.asm,VALID,29448,64,439941,
du.asm,VALID,62756,70,944931,
dump_router6.asm,VALID,5923,52,90825,
dumpe2fs.asm,VALID,5671,49,86027,
e2freefrag.asm,VALID,888,39,13512,
e2fsck.asm,VALID,52012,69,797125,
ead.asm,VALID,32710,92,463523,
eapol_test.asm,VALID,105280,65,1586752,
ebtables-restore.asm,VALID,509,29,7763,
ebtables.asm,VALID,180,25,2608,
echo.asm,VALID,62756,70,944931,
egrep.asm,VALID,62756,70,944931,
elfedit.asm,VALID,3780,41,57616,
env.asm,VALID,62756,70,944931,
esi.asm,VALID,402,28,5817,
exploit6.asm,VALID,7361,54,113163,
expr.asm,VALID,62756,70,944931,
f2fstat.asm,VALID,781,32,11983,
fake_advertise6.asm,VALID,6593,53,101302,
fake_dhcps6.asm,VALID,6635,52,102282,
fake_dns6d.asm,VALID,6104,51,93691,
fake_dnsupdate6.asm,VALID,5961,51,91405,
fake_mipv6.asm,VALID,5956,52,91481,
fake_mld26.asm,VALID,6300,51,96857,
fake_mld6.asm,VALID,6231,51,95703,
fake_mldrouter6.asm,VALID,6036,51,92614,
